"Time (s)","Magnetic Field x (µT)","Magnetic Field y (µT)","Magnetic Field z (µT)","Absolute field (µT)"
3.144714333E0,-2.614221954E1,5.509090424E-2,-4.789383698E1,5.456407516E1
3.154761333E0,-2.613976288E1,-4.553489685E-1,-4.781660843E1,5.449699613E1
3.164809333E0,-2.600637054E1,-9.719867706E-1,-4.803824234E1,5.463468490E1
3.174856333E0,-2.587625122E1,-1.468688011E0,-4.816799545E1,5.469820114E1
3.184903333E0,-2.568176651E1,-1.861907959E0,-4.823199463E1,5.467490410E1
3.194950333E0,-2.539941788E1,-2.452968597E0,-4.820963669E1,5.454646233E1
3.204998333E0,-2.523165131E1,-2.714303970E0,-4.831856918E1,5.457735613E1
3.215045333E0,-2.493606949E1,-3.243354797E0,-4.822492218E1,5.438722305E1
3.225092333E0,-2.470171738E1,-3.779928207E0,-4.853128052E1,5.458706703E1
3.235140333E0,-2.425590515E1,-4.331075668E0,-4.884872437E1,5.471110512E1
3.245187333E0,-2.391910934E1,-4.922154427E0,-4.904036331E1,5.478420055E1
3.255234333E0,-2.345243835E1,-5.522697449E0,-4.914519501E1,5.473360251E1
3.265281333E0,-2.292417526E1,-6.042919159E0,-4.937850571E1,5.477473422E1
3.275329333E0,-2.244118500E1,-6.526874542E0,-4.935523224E1,5.460902695E1
3.285376333E0,-2.184263992E1,-7.184749603E0,-4.943699646E1,5.452282242E1
3.295423333E0,-2.137368011E1,-7.841069221E0,-4.971443558E1,5.467944470E1
3.305471333E0,-2.091886520E1,-8.728636742E0,-4.969120026E1,5.461687838E1
3.315518333E0,-2.060759354E1,-9.312209129E0,-4.962086105E1,5.453090868E1
3.325565333E0,-2.031957626E1,-9.743012428E0,-4.963995361E1,5.451546996E1
3.335612333E0,-1.966500854E1,-1.072994137E1,-4.985614395E1,5.465783834E1
3.345660333E0,-1.903038025E1,-1.151166630E1,-5.025829315E1,5.495971128E1
3.355707333E0,-1.833277893E1,-1.180332851E1,-5.009391022E1,5.463340725E1
3.365754333E0,-1.782197189E1,-1.237918377E1,-5.031198120E1,5.479199143E1
3.375801333E0,-1.709034729E1,-1.271229839E1,-5.044427872E1,5.475680557E1
3.385849333E0,-1.631407166E1,-1.335676861E1,-5.061767197E1,5.483339235E1
3.395896333E0,-1.548921204E1,-1.421130657E1,-5.055796051E1,5.475385187E1
3.405943333E0,-1.488068390E1,-1.485657406E1,-5.066949081E1,5.485936425E1
3.415990333E0,-1.417319489E1,-1.548232174E1,-5.071067810E1,5.488309952E1
3.426038333E0,-1.357905960E1,-1.617028809E1,-5.027274704E1,5.452722413E1
3.436085333E0,-1.323663712E1,-1.665986252E1,-5.030928421E1,5.462402090E1
3.446132333E0,-1.262076950E1,-1.751702499E1,-5.024697113E1,5.468901256E1
3.456180333E0,-1.206211853E1,-1.827417374E1,-5.014626312E1,5.471825869E1
3.466227333E0,-1.161384964E1,-1.901099396E1,-5.019032288E1,5.491236568E1
3.476274333E0,-1.129257202E1,-1.955446625E1,-4.946194077E1,5.437263022E1
3.486321333E0,-1.093623734E1,-2.025243378E1,-4.941861343E1,5.451570154E1
3.496369333E0,-1.085504532E1,-2.093400574E1,-4.916471481E1,5.452736733E1
3.506416333E0,-1.054148483E1,-2.163117981E1,-4.900629044E1,5.459530515E1
3.516463333E0,-1.017103577E1,-2.200955200E1,-4.895125580E1,5.462687793E1
3.526511333E0,-9.917026520E0,-2.199632645E1,-4.873664856E1,5.438241172E1
3.536558333E0,-9.546222687E0,-2.233752823E1,-4.882313156E1,5.453250141E1
3.546605333E0,-9.449096680E0,-2.261082077E1,-4.881171417E1,5.461792823E1
3.556652333E0,-9.294914246E0,-2.278850555E1,-4.870396423E1,5.456910800E1
3.566700333E0,-8.969703674E0,-2.320833206E1,-4.869711685E1,5.468538608E1
3.576747333E0,-9.017200470E0,-2.337120056E1,-4.861819839E1,5.469234074E1
3.586794333E0,-9.003601074E0,-2.361718369E1,-4.844968414E1,5.464620839E1
3.596841333E0,-8.769306183E0,-2.384796524E1,-4.828097916E1,5.455895092E1
3.606889333E0,-8.531284332E0,-2.426105881E1,-4.817849350E1,5.461271851E1
3.616936333E0,-8.259162903E0,-2.441897583E1,-4.812991714E1,5.459843475E1
3.626983333E0,-7.847160339E0,-2.472220230E1,-4.794024658E1,5.450717801E1
3.637030333E0,-7.458530426E0,-2.511035156E1,-4.784904099E1,5.454988685E1
3.647078333E0,-7.243915558E0,-2.545814896E1,-4.790459061E1,5.473062636E1
3.657124833E0,-6.877807617E0,-2.545999527E1,-4.790124512E1,5.468130284E1
3.667171833E0,-6.616527557E0,-2.562482834E1,-4.763340759E1,5.449175886E1
3.677219833E0,-6.376701355E0,-2.573449707E1,-4.737665939E1,5.429064850E1
3.687266833E0,-6.062747955E0,-2.581011581E1,-4.771307755E1,5.458440034E1
3.697313833E0,-5.996765137E0,-2.580802536E1,-4.765009689E1,5.452107023E1
3.707360833E0,-5.784183502E0,-2.580865479E1,-4.753002167E1,5.439344078E1
3.717408833E0,-5.641689301E0,-2.606501007E1,-4.758508301E1,5.454863457E1
3.727455833E0,-5.699783325E0,-2.599812317E1,-4.752472687E1,5.447007988E1
3.737502833E0,-5.711086273E0,-2.622626877E1,-4.745751953E1,5.452201244E1
3.747549833E0,-5.770999908E0,-2.612698364E1,-4.729247665E1,5.433693092E1
3.757597833E0,-5.704360962E0,-2.609924698E1,-4.737447739E1,5.438797233E1
3.767644833E0,-5.660102844E0,-2.617982864E1,-4.746136856E1,5.449772195E1
3.777691833E0,-5.726985931E0,-2.607192230E1,-4.742988205E1,5.442551986E1
3.787739833E0,-5.732593536E0,-2.602969742E1,-4.754363632E1,5.450509271E1
3.797786833E0,-5.505958557E0,-2.591641235E1,-4.752514648E1,5.441153882E1
3.807833833E0,-5.501995087E0,-2.586870193E1,-4.765192032E1,5.449924036E1
3.817880833E0,-5.241165161E0,-2.605056381E1,-4.770653915E1,5.460783428E1
3.827928833E0,-5.172882080E0,-2.615109634E1,-4.773651505E1,5.467552851E1
3.837975833E0,-5.174861908E0,-2.635248566E1,-4.772412109E1,5.476152326E1
3.848022833E0,-5.196659088E0,-2.623363113E1,-4.767708206E1,5.466546279E1
3.858069833E0,-5.342773438E0,-2.619492340E1,-4.779099655E1,5.476037428E1
3.868117833E0,-5.439285278E0,-2.625711060E1,-4.732858276E1,5.439684207E1
3.878164833E0,-5.781463623E0,-2.604522324E1,-4.728382492E1,5.429124307E1
3.888211833E0,-5.748416901E0,-2.607959366E1,-4.736241913E1,5.437267924E1
3.898259833E0,-5.793830872E0,-2.616569901E1,-4.751634979E1,5.455287140E1
3.908306833E0,-6.038940430E0,-2.593384171E1,-4.722378159E1,5.421363753E1
3.918353833E0,-6.127353668E0,-2.573366547E1,-4.753752899E1,5.440204651E1
3.928400833E0,-6.438735962E0,-2.577927017E1,-4.756343460E1,5.448218427E1
3.938448833E0,-6.646209717E0,-2.565979385E1,-4.762318420E1,5.450288798E1
3.948495833E0,-6.848968506E0,-2.574178314E1,-4.758776093E1,5.453570169E1
3.958542833E0,-7.135475159E0,-2.599530411E1,-4.757809067E1,5.468405209E1
3.968589833E0,-7.522949219E0,-2.612990952E1,-4.730310440E1,5.456143897E1
3.978637833E0,-7.919258118E0,-2.594755173E1,-4.712522125E1,5.437625003E1
3.988684833E0,-8.258537292E0,-2.590721130E1,-4.718423462E1,5.445859925E1
3.998731833E0,-8.524734497E0,-2.593310547E1,-4.709726334E1,5.443665375E1
4.008778833E0,-8.631072998E0,-2.557841492E1,-4.706554794E1,5.425787071E1
4.018826833E0,-8.801544189E0,-2.584778214E1,-4.720100403E1,5.452989825E1
4.028873833E0,-8.898853302E0,-2.583851624E1,-4.714915085E1,5.449643050E1
4.038920833E0,-8.988780975E0,-2.598156357E1,-4.714591980E1,5.457634637E1
4.048968833E0,-9.031101227E0,-2.599317169E1,-4.700146484E1,5.446414840E1
4.059015833E0,-9.096740723E0,-2.608562851E1,-4.697710800E1,5.449825119E1
4.069062833E0,-9.437992096E0,-2.602344513E1,-4.672564697E1,5.431004950E1
4.079109833E0,-9.498981476E0,-2.598141479E1,-4.665724564E1,5.424171028E1
4.089157833E0,-9.650955200E0,-2.586766052E1,-4.670652771E1,5.425658050E1
4.099204833E0,-9.847164154E0,-2.597601700E1,-4.689802551E1,5.450820945E1
4.109251833E0,-9.956844330E0,-2.583853912E1,-4.698160553E1,5.453476058E1
4.119298833E0,-1.003267670E1,-2.570809937E1,-4.693985367E1,5.445099482E1
4.129346833E0,-1.022034454E1,-2.546206665E1,-4.684832001E1,5.429122736E1
4.139393833E0,-1.026393127E1,-2.525072479E1,-4.714761734E1,5.445957408E1
4.149440833E0,-1.043581009E1,-2.489236069E1,-4.740058899E1,5.454678349E1
4.159487833E0,-1.033665085E1,-2.497602463E1,-4.743776703E1,5.459844226E1
4.169535833E0,-1.057622147E1,-2.484035492E1,-4.736179352E1,5.451641201E1
4.179582833E0,-1.093623352E1,-2.468047714E1,-4.733855438E1,5.449464090E1
4.189629833E0,-1.112377548E1,-2.453197098E1,-4.752467346E1,5.462737930E1
4.199677833E0,-1.138113785E1,-2.441736221E1,-4.743399048E1,5.455017258E1
4.209724833E0,-1.163350677E1,-2.419658661E1,-4.768764114E1,5.472590247E1
4.219771833E0,-1.184265900E1,-2.395027542E1,-4.757777786E1,5.456655763E1
4.229818833E0,-1.199647522E1,-2.365298080E1,-4.753534317E1,5.443333325E1
4.239866833E0,-1.240002441E1,-2.341688538E1,-4.768729019E1,5.455445694E1
4.249913833E0,-1.275423050E1,-2.302766800E1,-4.772188950E1,5.450066629E1
4.259960833E0,-1.309278107E1,-2.282136536E1,-4.772818756E1,5.449968367E1
4.270007833E0,-1.343104553E1,-2.245496368E1,-4.766878510E1,5.437767419E1
4.280055833E0,-1.385750580E1,-2.220486450E1,-4.793761444E1,5.461777506E1
4.290102833E0,-1.407298660E1,-2.205251312E1,-4.774853134E1,5.444524343E1
4.300149833E0,-1.433650208E1,-2.193394089E1,-4.780064392E1,5.451178417E1
4.310197833E0,-1.473006058E1,-2.170546341E1,-4.780373001E1,5.452796007E1
4.320244833E0,-1.500030899E1,-2.142147446E1,-4.770974731E1,5.440688216E1
4.330291833E0,-1.529586029E1,-2.158159637E1,-4.764925766E1,5.449936146E1
4.340338833E0,-1.579229736E1,-2.128565979E1,-4.782868195E1,5.468142999E1
4.350386833E0,-1.610612488E1,-2.099619293E1,-4.768595886E1,5.453620860E1
4.360433833E0,-1.654063034E1,-2.082563782E1,-4.751511002E1,5.445167878E1
4.370480833E0,-1.684178925E1,-2.079172516E1,-4.746877670E1,5.449060893E1
4.380527833E0,-1.718423462E1,-2.053537369E1,-4.757157135E1,5.458986987E1
4.390575833E0,-1.734032822E1,-2.020212936E1,-4.753260422E1,5.448083587E1
4.400622833E0,-1.750156403E1,-1.986441803E1,-4.740997314E1,5.430106261E1
4.410669833E0,-1.753873444E1,-1.950713348E1,-4.750034332E1,5.426249237E1
4.420716833E0,-1.743629837E1,-1.908445358E1,-4.776472092E1,5.431122751E1
4.430764833E0,-1.753342056E1,-1.846900558E1,-4.802300262E1,5.435746301E1
4.440811833E0,-1.747315598E1,-1.805189133E1,-4.826623535E1,5.441333876E1
4.450858833E0,-1.745757675E1,-1.747311020E1,-4.871910477E1,5.462259363E1
4.460905833E0,-1.743633270E1,-1.692241669E1,-4.889725876E1,5.460160985E1
4.470953833E0,-1.738324738E1,-1.639970016E1,-4.925282669E1,5.474457409E1
4.481000833E0,-1.740859604E1,-1.597638416E1,-4.945772552E1,5.481213991E1
4.491047833E0,-1.750894547E1,-1.532641315E1,-4.956128693E1,5.475201616E1
4.501095833E0,-1.727260590E1,-1.488589191E1,-4.973690796E1,5.471464800E1
4.511142833E0,-1.752675247E1,-1.427058506E1,-4.989144135E1,5.477218792E1
4.521189833E0,-1.766483307E1,-1.373871708E1,-5.003708649E1,5.481339889E1
4.531236833E0,-1.761248016E1,-1.317661762E1,-5.017386627E1,5.478357022E1
4.541284833E0,-1.784663773E1,-1.239329243E1,-5.042553711E1,5.490747643E1
4.551331833E0,-1.785500336E1,-1.206895161E1,-5.049394608E1,5.490081355E1
4.561378833E0,-1.788153839E1,-1.161396694E1,-5.039043427E1,5.471589814E1
4.571425833E0,-1.792039871E1,-1.124489117E1,-5.065560913E1,5.489607458E1
4.581473833E0,-1.790770721E1,-1.071901417E1,-5.069178391E1,5.482007112E1
4.591520833E0,-1.795605469E1,-1.034350491E1,-5.070992661E1,5.478051341E1
4.601567833E0,-1.805886841E1,-9.929497719E0,-5.081894302E1,5.483869640E1
4.611614833E0,-1.822542953E1,-9.209105492E0,-5.070582581E1,5.466310160E1
4.621662833E0,-1.848406982E1,-8.710259438E0,-5.077215958E1,5.472971446E1
4.631709833E0,-1.859767914E1,-8.349581718E0,-5.093790436E1,5.486582984E1
4.641756833E0,-1.869676208E1,-7.930704117E0,-5.101157761E1,5.490579232E1
4.651803833E0,-1.887702179E1,-7.580876350E0,-5.092326736E1,5.483603557E1
4.661852333E0,-1.906247330E1,-7.216271400E0,-5.100294876E1,5.492497832E1
4.671899333E0,-1.907183075E1,-7.077679634E0,-5.102400208E1,5.492974663E1
4.681946333E0,-1.921349716E1,-6.819914818E0,-5.102510071E1,5.494752600E1
4.691994333E0,-1.935326385E1,-6.745089531E0,-5.087548447E1,5.484851843E1
4.702041333E0,-1.933102798E1,-6.477755547E0,-5.096388245E1,5.489050258E1
4.712088333E0,-1.942087936E1,-6.244339943E0,-5.095121765E1,5.488341204E1
4.722135333E0,-1.974610901E1,-5.727273941E0,-5.083666229E1,5.483681903E1
4.732183333E0,-1.986592865E1,-5.411940575E0,-5.090066528E1,5.490739429E1
4.742230333E0,-1.994306183E1,-5.134176254E0,-5.107209778E1,5.506763707E1
4.752277333E0,-1.993940353E1,-5.083295822E0,-5.088924026E1,5.489202569E1
4.762324333E0,-2.002195740E1,-4.694189072E0,-5.098199844E1,5.497343317E1
4.772372333E0,-2.024386215E1,-4.456503868E0,-5.098030090E1,5.503331229E1
4.782419333E0,-2.019104767E1,-4.156989098E0,-5.097330093E1,5.498396468E1
4.792466333E0,-2.013561630E1,-4.073370934E0,-5.112607574E1,5.509910177E1
4.802513333E0,-2.008306503E1,-4.008583069E0,-5.086915970E1,5.483675453E1
4.812561333E0,-2.028161240E1,-3.640613556E0,-5.092621231E1,5.493702730E1
4.822608333E0,-2.040148926E1,-3.505387306E0,-5.101031494E1,5.505052892E1
4.832655333E0,-2.063925552E1,-3.478187561E0,-5.100129700E1,5.512902097E1
4.842702333E0,-2.046024704E1,-3.658365250E0,-5.072637558E1,5.481943565E1
4.852750333E0,-2.066279984E1,-3.497482300E0,-5.073944092E1,5.489694476E1
4.862797333E0,-2.079695892E1,-3.268467903E0,-5.067153931E1,5.487076889E1
4.872844333E0,-2.073463821E1,-3.354398727E0,-5.065543365E1,5.483748874E1
4.882892333E0,-2.089965820E1,-3.098991394E0,-5.066720200E1,5.489594538E1
4.892939333E0,-2.093461609E1,-3.121301651E0,-5.080255890E1,5.503544917E1
4.902986333E0,-2.102624893E1,-2.855963707E0,-5.068150330E1,5.494428495E1
4.913033333E0,-2.122526169E1,-2.614030838E0,-5.060586548E1,5.493904360E1
4.923081333E0,-2.137671661E1,-2.238435745E0,-5.057950974E1,5.495690505E1
4.933128333E0,-2.128767395E1,-2.276086807E0,-5.041349792E1,5.477103620E1
4.943175333E0,-2.152820206E1,-2.022396088E0,-5.036197281E1,5.480768080E1
4.953222333E0,-2.177531052E1,-1.725345612E0,-5.034579086E1,5.488022980E1
4.963270333E0,-2.189011002E1,-1.514078140E0,-5.014873505E1,5.473906261E1
4.973317333E0,-2.221026611E1,-1.341853142E0,-4.998612213E1,5.471479596E1
4.983364333E0,-2.246512604E1,-1.083948135E0,-4.987673569E1,5.471330363E1
4.993411333E0,-2.272332382E1,-8.342199326E-1,-4.979781342E1,5.474365342E1
5.003459333E0,-2.294838715E1,-6.547708511E-1,-4.976333237E1,5.480370832E1
5.013506333E0,-2.332303619E1,-4.147090912E-1,-4.980801010E1,5.499976246E1
5.023553333E0,-2.353002548E1,-2.602691650E-1,-4.951695633E1,5.482388898E1
5.033600333E0,-2.379967117E1,-2.986421585E-1,-4.936956406E1,5.480754866E1
5.043648333E0,-2.399937057E1,-1.316871643E-1,-4.931527710E1,5.484508807E1
5.053695333E0,-2.427138519E1,-1.148557663E-1,-4.916555023E1,5.483032610E1
5.063742333E0,-2.454151154E1,9.623622894E-2,-4.931561661E1,5.508470833E1
5.073789333E0,-2.459065628E1,2.671561241E-1,-4.909591675E1,5.491066190E1
5.083837333E0,-2.458069229E1,5.225939751E-1,-4.888358688E1,5.471826573E1
5.093884333E0,-2.457411194E1,5.836906433E-1,-4.867408752E1,5.452884071E1
5.103931333E0,-2.465771103E1,9.448347092E-1,-4.886345673E1,5.474059580E1
5.113978333E0,-2.476095200E1,1.047892570E0,-4.870656204E1,5.464917208E1
5.124026333E0,-2.505560303E1,1.405478477E0,-4.882030106E1,5.489244400E1
5.134073333E0,-2.544804764E1,1.794374466E0,-4.860552216E1,5.489371268E1
5.144120333E0,-2.544444656E1,2.040929317E0,-4.843772507E1,5.475215487E1
5.154168333E0,-2.584434509E1,2.432849884E0,-4.830607986E1,5.483909448E1
5.164215333E0,-2.600466156E1,2.615882874E0,-4.811801529E1,5.475790958E1
5.174262333E0,-2.624570847E1,2.682494164E0,-4.789709091E1,5.468239484E1
5.184309333E0,-2.646686554E1,2.741852760E0,-4.770459747E1,5.462363360E1
5.194357333E0,-2.658277130E1,2.908819675E0,-4.759947968E1,5.459684448E1
5.204404333E0,-2.679519653E1,2.799891949E0,-4.740896606E1,5.452918499E1
5.214451333E0,-2.689663315E1,2.826908588E0,-4.747371674E1,5.463674650E1
5.224498333E0,-2.711936188E1,2.939173222E0,-4.740568924E1,5.469367331E1
5.234546333E0,-2.725675964E1,3.200862885E0,-4.733639908E1,5.471664415E1
5.244593333E0,-2.732361603E1,3.430731297E0,-4.717253494E1,5.462232111E1
5.254640333E0,-2.750996399E1,3.588394165E0,-4.693211746E1,5.451878888E1
5.264687333E0,-2.751221848E1,3.897356987E0,-4.701296616E1,5.461071821E1
5.274735333E0,-2.771219635E1,3.939924002E0,-4.698073196E1,5.468709175E1
5.284782333E0,-2.768651199E1,4.051352501E0,-4.696388245E1,5.466774788E1
5.294829333E0,-2.763236237E1,4.224187851E0,-4.675362778E1,5.447286410E1
5.304876333E0,-2.754491425E1,4.112618923E0,-4.663345337E1,5.431680134E1
5.314924333E0,-2.764984894E1,4.299043179E0,-4.685364914E1,5.457344003E1
5.324971333E0,-2.766239166E1,4.289225578E0,-4.681481171E1,5.454568694E1
5.335018333E0,-2.776612473E1,4.490418434E0,-4.666984940E1,5.449033293E1
5.345065333E0,-2.776902390E1,4.629680634E0,-4.679390335E1,5.460972461E1
5.355113333E0,-2.781620026E1,4.948732376E0,-4.655377960E1,5.445627002E1
5.365160333E0,-2.766262436E1,4.992937088E0,-4.672532654E1,5.452894963E1
5.375207333E0,-2.775953293E1,5.167926788E0,-4.687908554E1,5.472611622E1
5.385254333E0,-2.763565445E1,5.204237938E0,-4.683179855E1,5.462628346E1
5.395302333E0,-2.757715988E1,5.180722237E0,-4.678135681E1,5.455121424E1
5.405349333E0,-2.775410461E1,5.291540146E0,-4.677602768E1,5.464693482E1
5.415396333E0,-2.769908142E1,5.259232044E0,-4.686550522E1,5.469254257E1
5.425443333E0,-2.760451126E1,5.268681526E0,-4.684261703E1,5.462599031E1
5.435491333E0,-2.759221268E1,5.374723434E0,-4.686149216E1,5.464629264E1
5.445538333E0,-2.744841766E1,5.369067192E0,-4.678731918E1,5.450959320E1
5.455585333E0,-2.737855530E1,5.477893829E0,-4.692055893E1,5.459973866E1
5.465632333E0,-2.729713821E1,5.309857845E0,-4.697290039E1,5.458737689E1
5.475680333E0,-2.730681229E1,5.271093369E0,-4.697445679E1,5.458979770E1
5.485727333E0,-2.726518250E1,5.157264709E0,-4.697981262E1,5.456271941E1
5.495774333E0,-2.718732452E1,4.969336987E0,-4.700004959E1,5.452384420E1
5.505821333E0,-2.726396561E1,5.121431828E0,-4.699208450E1,5.456930356E1
5.515869333E0,-2.737948227E1,5.058179379E0,-4.693816376E1,5.457483344E1
5.525916333E0,-2.726366043E1,4.978578568E0,-4.696385193E1,5.453161297E1
5.535963333E0,-2.722042465E1,4.760406494E0,-4.717792130E1,5.467512456E1
5.546011333E0,-2.715534210E1,4.835788727E0,-4.705097198E1,5.453981502E1
5.556058333E0,-2.712400055E1,4.641958237E0,-4.703200150E1,5.449099326E1
5.566105333E0,-2.712556076E1,4.532310486E0,-4.696087646E1,5.442115217E1
5.576152333E0,-2.720736313E1,4.473344326E0,-4.702691650E1,5.451405593E1
5.586200333E0,-2.715661240E1,4.477771759E0,-4.708012009E1,5.453503226E1
5.596247333E0,-2.719825363E1,4.164334774E0,-4.714173126E1,5.458415073E1
5.606294333E0,-2.720896912E1,4.039508820E0,-4.707895660E1,5.452590015E1
5.616341333E0,-2.717634583E1,3.691249847E0,-4.710779953E1,5.450985117E1
5.626389333E0,-2.712308121E1,3.868382931E0,-4.729184341E1,5.465477449E1
5.636436333E0,-2.719945145E1,3.698359013E0,-4.726046371E1,5.465381459E1
5.646483333E0,-2.704769897E1,3.447542667E0,-4.725627136E1,5.455839764E1
5.656530458E0,-2.702108002E1,3.280097008E0,-4.745654297E1,5.470851188E1
5.666578458E0,-2.696702576E1,3.214974880E0,-4.734378815E1,5.458013208E1
5.676625458E0,-2.699913406E1,2.754452229E0,-4.727489090E1,5.451105903E1
5.686672458E0,-2.662689972E1,2.421404362E0,-4.743498993E1,5.445120070E1
5.696719458E0,-2.660622406E1,2.160518169E0,-4.744676971E1,5.444037981E1
5.706767458E0,-2.674417114E1,2.080874920E0,-4.754465485E1,5.459006260E1
5.716814458E0,-2.667110443E1,1.896661758E0,-4.759928131E1,5.459520784E1
5.726861458E0,-2.660634995E1,1.404733181E0,-4.772646713E1,5.465973653E1
5.736908458E0,-2.662514496E1,1.122031689E0,-4.752090836E1,5.448297009E1
5.746956458E0,-2.665352631E1,1.073359489E0,-4.752705002E1,5.450122062E1
5.757003458E0,-2.654887390E1,6.972489357E-1,-4.766943741E1,5.456834361E1
5.767050458E0,-2.647778320E1,4.046759605E-1,-4.771280289E1,5.456874861E1
5.777097458E0,-2.633433151E1,3.071179390E-1,-4.778329468E1,5.456037562E1
5.787145458E0,-2.628840637E1,1.609792709E-1,-4.768950272E1,5.445543952E1
5.797192458E0,-2.611986923E1,-1.002435684E-1,-4.802612305E1,5.466960867E1
5.807239458E0,-2.589607620E1,-5.080947876E-1,-4.790859985E1,5.446190286E1
5.817286458E0,-2.578430939E1,-7.979555130E-1,-4.804939270E1,5.453633177E1
5.827334458E0,-2.586709595E1,-8.991632462E-1,-4.796894836E1,5.450628546E1
5.837381458E0,-2.581112289E1,-1.264464378E0,-4.790304565E1,5.442898785E1
5.847428458E0,-2.552639771E1,-1.548557281E0,-4.785348511E1,5.425818875E1
5.857475458E0,-2.547755432E1,-1.789691925E0,-4.816238403E1,5.451535570E1
5.867523458E0,-2.518952942E1,-2.079228401E0,-4.809981155E1,5.433624439E1
5.877570458E0,-2.511071014E1,-2.414895058E0,-4.828702545E1,5.447950357E1
5.887617458E0,-2.491949463E1,-2.640329361E0,-4.831783295E1,5.442945464E1
5.897664458E0,-2.455811691E1,-3.036423683E0,-4.864556503E1,5.457757756E1
5.907712458E0,-2.439680862E1,-3.638945580E0,-4.870335388E1,5.459361570E1
5.917759458E0,-2.409335709E1,-3.941061020E0,-4.886883926E1,5.462769690E1
5.927806458E0,-2.378323746E1,-4.202400208E0,-4.891810989E1,5.455532996E1
5.937853458E0,-2.361985016E1,-4.358354568E0,-4.889882660E1,5.447924209E1
5.947901458E0,-2.360236359E1,-4.362548828E0,-4.890522766E1,5.447774492E1
5.957948458E0,-2.322454834E1,-4.645636559E0,-4.898698425E1,5.441218807E1
5.967995458E0,-2.308388901E1,-4.578501701E0,-4.916015244E1,5.450274486E1
5.978042458E0,-2.278830338E1,-4.861418724E0,-4.946760178E1,5.468074422E1
5.988090458E0,-2.256292343E1,-4.846588135E0,-4.950437927E1,5.461921363E1
5.998137458E0,-2.232844543E1,-4.622748375E0,-4.951393890E1,5.451201174E1
6.008184458E0,-2.203462601E1,-4.540789604E0,-4.963300323E1,5.449383932E1
6.018231458E0,-2.185318375E1,-4.246703148E0,-4.953674698E1,5.430916524E1
6.028279458E0,-2.187596893E1,-4.130015373E0,-4.965452576E1,5.441678943E1
6.038326458E0,-2.185379791E1,-4.061568260E0,-4.969615555E1,5.444072645E1
6.048373458E0,-2.199392700E1,-3.944323540E0,-4.984856033E1,5.462755239E1
6.058420458E0,-2.188995743E1,-3.993654251E0,-4.974914169E1,5.449859273E1
6.068468458E0,-2.177786255E1,-3.899745941E0,-4.987485123E1,5.456174576E1
6.078515458E0,-2.182202148E1,-3.786891937E0,-5.006602859E1,5.474621806E1
6.088562458E0,-2.164863586E1,-3.577999115E0,-5.031937408E1,5.489539981E1
6.098609458E0,-2.122239304E1,-3.595481873E0,-5.031091690E1,5.472207795E1
6.108657458E0,-2.094878006E1,-3.774393082E0,-5.063352203E1,5.492586806E1
6.118704458E0,-2.062210083E1,-3.947058678E0,-5.058972931E1,5.477381698E1
6.128751458E0,-2.033736420E1,-3.982009888E0,-5.067039108E1,5.474443641E1
6.138798458E0,-2.011107635E1,-4.176797867E0,-5.067006302E1,5.467500635E1
6.148846458E0,-2.002468872E1,-4.344452858E0,-5.073568344E1,5.471720025E1
6.158893458E0,-1.995832443E1,-4.707750320E0,-5.064431763E1,5.463830648E1
6.168940458E0,-1.989883041E1,-5.132668495E0,-5.071774673E1,5.472291633E1
6.178987458E0,-1.986772919E1,-5.400315285E0,-5.069391251E1,5.471528885E1
6.189035458E0,-1.976241302E1,-5.884562492E0,-5.064728546E1,5.468389680E1
6.199082458E0,-1.961063766E1,-6.241282463E0,-5.073991013E1,5.475462716E1
6.209129458E0,-1.926258850E1,-6.754744530E0,-5.087298584E1,5.481545929E1
6.219176458E0,-1.894891357E1,-6.994114876E0,-5.088092041E1,5.474346564E1
6.229224458E0,-1.854945755E1,-7.322773933E0,-5.100796890E1,5.476785814E1
6.239271458E0,-1.825042725E1,-7.683722496E0,-5.118513107E1,5.488201280E1
6.249318458E0,-1.786598206E1,-7.872927666E0,-5.126604080E1,5.485784579E1
6.259365458E0,-1.765008926E1,-8.290301323E0,-5.124291611E1,5.482783233E1
6.269413458E0,-1.753166580E1,-8.434502602E0,-5.133582306E1,5.489869642E1
6.279460458E0,-1.731500626E1,-8.853608131E0,-5.136584473E1,5.492400043E1
6.289507458E0,-1.722903442E1,-8.844658852E0,-5.132946014E1,5.486147187E1
6.299554458E0,-1.712425613E1,-9.049046516E0,-5.144845963E1,5.497335162E1
6.309602458E0,-1.668945312E1,-9.461474419E0,-5.138233566E1,5.484707615E1
6.319649458E0,-1.651082993E1,-9.555254936E0,-5.126257706E1,5.469700365E1
6.329696458E0,-1.657167435E1,-9.469511986E0,-5.154292679E1,5.496330912E1
6.339743458E0,-1.639063644E1,-9.385899544E0,-5.144038773E1,5.479837190E1
6.349791458E0,-1.647260284E1,-9.080883980E0,-5.136166763E1,5.469762335E1
6.359838458E0,-1.623427582E1,-9.510281563E0,-5.139506531E1,5.473070349E1
6.369885458E0,-1.604513550E1,-9.606663704E0,-5.134972763E1,5.464914353E1
6.379932458E0,-1.606529236E1,-9.869750023E0,-5.125253296E1,5.461069235E1
6.389980458E0,-1.608958435E1,-1.020759296E1,-5.115240860E1,5.458606584E1
6.400027458E0,-1.604291153E1,-1.055475903E1,-5.103189087E1,5.452551544E1
